account_id,account_external_id,account_name,parent_account_id,segment,industry,sales_region,country_code,employee_band,annual_revenue_band,customer_status
1,ACC-0001,Harbor Supply Co,,enterprise,Manufacturing,apac,AU,1000-4999,$250M-$1B,customer
2,ACC-0002,Atlas Commerce Partners,,smb,Retail,emea,NL,50-249,$10M-$50M,customer
3,ACC-0003,Summit Operations,,mid_market,Consumer Goods,apac,IN,250-999,$50M-$250M,former_customer
4,ACC-0004,Granite Distribution,,mid_market,Automotive,emea,AE,250-999,$50M-$250M,customer
5,ACC-0005,Meridian Cargo Systems,,smb,Industrial Equipment,apac,AU,50-249,$10M-$50M,prospect
6,ACC-0006,Apex Retail Holdings,,smb,Pharma,emea,DE,50-249,$10M-$50M,customer
7,ACC-0007,Bluewave Trade Group,,smb,Food & Beverage,emea,NL,50-249,$10M-$50M,customer
8,ACC-0008,Ironwood Global Freight,,strategic,Freight Brokerage,emea,FR,5000+,$1B+,customer
9,ACC-0009,Crescent Industrial,,smb,Third-Party Logistics,apac,AU,50-249,$10M-$50M,prospect
10,ACC-0010,Pioneer Logistics,,strategic,Logistics,latam,CO,5000+,$1B+,prospect
11,ACC-0011,Vector Supply Co,,smb,Manufacturing,na,MX,50-249,$10M-$50M,customer
12,ACC-0012,Northstar Commerce Partners,,mid_market,Retail,apac,SG,250-999,$50M-$250M,prospect
13,ACC-0013,Harbor Operations,,enterprise,Consumer Goods,apac,AU,1000-4999,$250M-$1B,customer
14,ACC-0014,Atlas Distribution,,enterprise,Automotive,na,MX,1000-4999,$250M-$1B,customer
15,ACC-0015,Summit Cargo Systems,,mid_market,Industrial Equipment,apac,IN,250-999,$50M-$250M,customer
16,ACC-0016,Granite Retail Holdings,,enterprise,Pharma,emea,DE,1000-4999,$250M-$1B,prospect
17,ACC-0017,Meridian Trade Group,,enterprise,Food & Beverage,na,MX,1000-4999,$250M-$1B,prospect
18,ACC-0018,Apex Global Freight,,mid_market,Freight Brokerage,emea,FR,250-999,$50M-$250M,prospect
19,ACC-0019,Bluewave Industrial,,enterprise,Third-Party Logistics,na,CA,1000-4999,$250M-$1B,prospect
20,ACC-0020,Ironwood Logistics,,smb,Logistics,na,MX,50-249,$10M-$50M,former_customer
21,ACC-0021,Crescent Supply Co,,mid_market,Manufacturing,na,US,250-999,$50M-$250M,prospect
22,ACC-0022,Pioneer Commerce Partners,,mid_market,Retail,na,CA,250-999,$50M-$250M,customer
23,ACC-0023,Vector Operations,,mid_market,Consumer Goods,na,MX,250-999,$50M-$250M,customer
24,ACC-0024,Northstar Distribution,,smb,Automotive,emea,AE,50-249,$10M-$50M,customer
25,ACC-0025,Harbor Cargo Systems,,smb,Industrial Equipment,apac,AU,50-249,$10M-$50M,prospect
26,ACC-0026,Atlas Retail Holdings,,enterprise,Pharma,latam,CO,1000-4999,$250M-$1B,prospect
27,ACC-0027,Summit Trade Group,,strategic,Food & Beverage,apac,IN,5000+,$1B+,customer
28,ACC-0028,Granite Global Freight,,mid_market,Freight Brokerage,na,CA,250-999,$50M-$250M,prospect
