opportunity_id,outcome,primary_loss_reason,primary_win_reason,loss_reason_detail,decision_process_notes,champion_strength,procurement_friction_flag,competitor_capture_completeness,record_completeness_score
1,lost,price,,,late-stage decision path remained fuzzy,weak,true,low,0.47
2,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.96
3,lost,competitor,,incumbent competitor kept the global trade team aligned,,unknown,false,medium,0.52
4,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,medium,0.42
5,won,,Global rollout fit and clear ROI case,,,mixed,,high,0.89
6,lost,competitor,,,,unknown,false,medium,0.37
7,lost,no_decision,,project paused after steering committee could not commit,,mixed,false,low,0.57
8,lost,budget,,,late-stage decision path remained fuzzy,strong,false,medium,0.47
9,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,weak,false,low,0.46
10,lost,no_decision,,project paused after steering committee could not commit,,mixed,false,medium,0.36
11,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,strong,false,medium,0.56
12,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,medium,0.41
13,lost,price,,,late-stage decision path remained fuzzy,mixed,false,low,0.47
14,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,high,0.9
15,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,false,high,0.94
16,won,,Best workflow match for cross-border operations,,,mixed,,high,0.92
17,won,,Executive alignment and stronger services plan,,,strong,false,high,0.91
18,lost,price,,,,weak,true,low,0.47
19,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.87
20,lost,no_decision,,,late-stage decision path remained fuzzy,unknown,false,low,0.37
21,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,weak,,medium,0.9
22,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,low,0.96
23,lost,competitor,,,late-stage decision path remained fuzzy,mixed,false,low,0.52
24,won,,Better analytics vision for renewal planning,,,strong,,high,0.93
25,lost,,,,,mixed,true,medium,0.54
26,lost,price,,pricing came in above internal threshold after procurement review,,mixed,true,high,0.37
27,lost,,,initial sponsor changed roles and support faded,,unknown,false,medium,0.48
28,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,low,0.97
29,won,,Better analytics vision for renewal planning,,,unknown,,medium,0.95
30,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,weak,false,medium,0.39
31,lost,,,,late-stage decision path remained fuzzy,unknown,false,low,0.47
32,lost,product_gap,,,,mixed,false,low,0.54
33,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,unknown,,medium,0.97
34,won,,Better analytics vision for renewal planning,,,strong,false,high,0.93
35,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,,high,0.96
36,won,,Best workflow match for cross-border operations,,,strong,,high,0.94
37,lost,budget,,budget shifted to warehouse modernization workstream,,weak,true,low,0.59
38,won,,Incumbent relationship and lower switching risk,,,strong,,high,0.91
39,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.89
40,won,,Global rollout fit and clear ROI case,,,weak,,high,0.94
41,lost,budget,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,weak,false,low,0.54
42,won,,Executive alignment and stronger services plan,,,unknown,false,high,0.92
43,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,strong,false,medium,0.61
44,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,true,low,0.51
45,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,false,medium,0.94
